1.000000000000000000e+00 7.236862447526719831e-03 -8.987535908634015414e+00 -8.987392629538042854e+00
1.930000000000000000e+02 1.430457327763239583e-01 -7.873679055711185093e+00 -6.605686285713138872e+00
4.020000000000000000e+02 2.804234107997682357e-01 -7.844319448937207007e+00 -6.555951555915058293e+00
6.300000000000000000e+02 4.161259566413031408e-01 -7.827734787105419478e+00 -6.531467174212969518e+00
8.590000000000000000e+02 5.522107785940170155e-01 -7.816800368754573292e+00 -6.515424517534761151e+00
1.012000000000000000e+03 6.901219044129053293e-01 -7.811267291810661817e+00 -6.507143600104407177e+00
1.143000000000000000e+03 8.275461243920856358e-01 -7.806983544213032644e+00 -6.500917585696839751e+00
1.276000000000000000e+03 9.654106530216005622e-01 -7.803019225288190697e+00 -6.495177602501646774e+00
1.413000000000000000e+03 1.103547084728876859e+00 -7.799338866760458622e+00 -6.490537615118162407e+00
1.522000000000000000e+03 1.241268419689602220e+00 -7.796523168694029948e+00 -6.486836488222953889e+00
1.662000000000000000e+03 1.379813494947221608e+00 -7.793099459414349006e+00 -6.482537309633600309e+00
1.872000000000000000e+03 1.515771010518073947e+00 -7.788309128179713881e+00 -6.476277782635537328e+00
2.100000000000000000e+03 1.651927072207133085e+00 -7.783392328396958604e+00 -6.469802846375277028e+00
2.326000000000000000e+03 1.787684444983800303e+00 -7.779290208304436405e+00 -6.464845345872565652e+00
2.560000000000000000e+03 1.923539329700999723e+00 -7.775573677768211844e+00 -6.459491623221263801e+00
2.791000000000000000e+03 2.059326880507998947e+00 -7.772427474822309890e+00 -6.455322553178680423e+00
3.019000000000000000e+03 2.195031953586472184e+00 -7.769390883482403254e+00 -6.451750603833906972e+00
3.246000000000000000e+03 2.330952551894717839e+00 -7.766455650416752121e+00 -6.448658023531228523e+00
3.474000000000000000e+03 2.466859509944915985e+00 -7.763530388407517080e+00 -6.444640503898940942e+00
3.578000000000000000e+03 2.608286636339293807e+00 -7.762356610151100789e+00 -6.443275834155563153e+00
3.686000000000000000e+03 2.746781573560503009e+00 -7.761221547064200088e+00 -6.441885659967313771e+00
3.793000000000000000e+03 2.885309605797131915e+00 -7.760024013999191617e+00 -6.440439713991009008e+00
3.902000000000000000e+03 3.023562808566623072e+00 -7.758910865820906722e+00 -6.439306441602643538e+00
4.022000000000000000e+03 3.162001507745848983e+00 -7.757650568770024790e+00 -6.437921817205172204e+00
