1.000000000000000000e+00 5.937316682603624223e-04 -9.547218731351328813e+00 -9.547166511599495919e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 3.695730235841539375e-03 -8.483062447970414865e+00 -8.008343451605242080e+00 0.000000000000000000e+00 1.282761869334427502e+04 1.282761869334427502e+04
3.000000000000000000e+00 5.794445806079440674e-03 -8.393926175802000955e+00 -7.838572321159658074e+00 2.647390364154857583e+06 1.858403043104927347e+05 2.858030403847753070e+06
4.000000000000000000e+00 7.710467775662740129e-03 -8.360501178402572009e+00 -7.744855749324458749e+00 2.832505321984561626e+06 1.892778630056299444e+05 2.954878816941753030e+06
5.000000000000000000e+00 9.497583839628431432e-03 -8.347252805742485293e+00 -7.697490657732630304e+00 1.787641847795107868e+06 1.777990570273432240e+05 2.050396594776176382e+06
6.000000000000000000e+00 1.103863305515713142e-02 -8.339464033311394076e+00 -7.667348765355794349e+00 1.225445707611716818e+06 1.580985932180149539e+05 1.491290834200786427e+06
7.000000000000000000e+00 1.271219856209225042e-02 -8.334310495811815045e+00 -7.646221901803716747e+00 9.058523006653703051e+05 1.284374749825156177e+05 1.111400499216595199e+06
8.000000000000000000e+00 1.430330302980211028e-02 -8.331335614933321310e+00 -7.631072030809877837e+00 7.111709187364587560e+05 1.153675342239200254e+05 8.707686163402355742e+05
9.000000000000000000e+00 1.605683664480845110e-02 -8.329270986509273555e+00 -7.619442184854538169e+00 5.804349360924873035e+05 1.003274391886809753e+05 7.204592735736150062e+05
1.000000000000000000e+01 1.763733300897810108e-02 -8.327846905179230319e+00 -7.610477504672938487e+00 4.870940094795144396e+05 8.403696366376035439e+04 6.075901167973291595e+05
1.100000000000000000e+01 1.905820720725589362e-02 -8.326898429259992795e+00 -7.603205610469927045e+00 4.181495630577633274e+05 7.399115679481535335e+04 5.403730814299283084e+05
1.200000000000000000e+01 2.066723664601644028e-02 -8.326209972994742969e+00 -7.595300836671191824e+00 1.362080036013748904e+05 8.074719308181913220e+04 2.296323401691674371e+05
1.300000000000000000e+01 2.236854970455169622e-02 -8.326002153767319669e+00 -7.588418901208265233e+00 6.443436895842515514e+04 8.355241089468871360e+04 1.473322554293827852e+05
1.400000000000000000e+01 2.378273718886905405e-02 -8.325827736748427910e+00 -7.582727641193586443e+00 3.910681843773512082e+04 8.552057220447187137e+04 1.248590205541820324e+05
1.500000000000000000e+01 2.532890611224704325e-02 -8.325597093612271848e+00 -7.577754712876698662e+00 3.003917215704031696e+04 8.395770720570093545e+04 1.142300997780790640e+05
1.600000000000000000e+01 2.687436302502950111e-02 -8.325481663734374038e+00 -7.573453129133884687e+00 2.547801658001265241e+04 8.494444646175662638e+04 1.069951506886167335e+05
1.700000000000000000e+01 2.832737690872616163e-02 -8.325555494993269079e+00 -7.570013161504645538e+00 2.258749558059230912e+04 8.713668378064685385e+04 1.108309295173025021e+05
